Country,Year,Population,Gini Index,Average Income,Top10 IncomeShare%,Bottom10 IncomeShare%,Income Group,Economic Group,OECD Status,G20/EU Status,Regional Group
United States,2000,30072337,0.33,37106.74,30.78,1.1,High Income,Developed,Member,G20 Member,North America
United States,2001,15189465,0.51,16250.11,54.56,1.44,Low Income,Developed,Member,G20 Member,North America
United States,2002,89001835,0.23,40069.59,37.2,1.37,High Income,Developed,Member,G20 Member,North America
United States,2003,297595139,0.23,1233.47,40.45,4.49,Lower Middle Income,Developed,Member,G20 Member,North America
United States,2004,23680558,0.54,22950.25,45.34,3.25,High Income,Developed,Member,G20 Member,North America
United States,2005,102682227,0.37,68442.23,38.25,3.23,Upper Middle Income,Developed,Member,G20 Member,North America
United States,2006,12071500,0.42,12117.62,20.37,2.41,High Income,Developed,Member,G20 Member,North America
United States,2007,12237449,0.5,7545.05,59.21,2.01,Lower Middle Income,Developed,Member,G20 Member,North America
United States,2008,36032296,0.24,66697.83,58.48,1.2,Lower Middle Income,Developed,Member,G20 Member,North America
United States,2009,249635777,0.34,45702.22,35.23,1.9,Low Income,Developed,Member,G20 Member,North America
United States,2010,73966808,0.48,34047.4,46.71,4.02,Low Income,Developed,Member,G20 Member,North America
United States,2011,297467929,0.25,61827.06,24.16,2.06,High Income,Developed,Member,G20 Member,North America
United States,2012,172936672,0.55,69732.71,24.29,4.12,High Income,Developed,Member,G20 Member,North America
United States,2013,7756519,0.49,63671.54,49.37,2.53,Upper Middle Income,Developed,Member,G20 Member,North America
United States,2014,76391581,0.31,5107.84,54.97,2.95,Low Income,Developed,Member,G20 Member,North America
United States,2015,293918826,0.43,55019.79,20.14,2.48,Lower Middle Income,Developed,Member,G20 Member,North America
United States,2016,181468733,0.31,60908.05,43.9,3.22,Lower Middle Income,Developed,Member,G20 Member,North America
United States,2017,149724729,0.42,30294.01,29.35,1.46,Low Income,Developed,Member,G20 Member,North America
United States,2018,169925740,0.32,13504.43,35.36,4.9,Low Income,Developed,Member,G20 Member,North America
United States,2019,127984406,0.21,17780.04,41.45,4.34,High Income,Developed,Member,G20 Member,North America
United States,2020,62925673,0.38,43589.34,22.87,2.45,Lower Middle Income,Developed,Member,G20 Member,North America
United States,2021,341744580,0.6,58623.77,46.03,1.29,Low Income,Developed,Member,G20 Member,North America
United States,2022,98758611,0.35,8918.43,25.21,3.57,Low Income,Developed,Member,G20 Member,North America
United States,2023,253261013,0.45,58864.35,55.17,1.08,Lower Middle Income,Developed,Member,G20 Member,North America
India,2000,43431525,0.29,28036.11,40.39,4.78,Upper Middle Income,Developing,Key Partner,G20 Member,Southeast Asia
